user_id,provider_id
u_001,p_014
u_001,p_014
u_001,p_001
u_001,p_014
u_001,p_012
u_001,p_043
u_001,p_044
u_001,p_021
u_001,p_037
u_001,p_024
u_002,p_004
u_002,p_004
u_002,p_015
u_002,p_002
u_002,p_012
u_002,p_037
u_002,p_031
u_002,p_027
u_002,p_021
u_002,p_024
u_003,p_012
u_003,p_007
u_003,p_004
u_003,p_015
u_003,p_012
u_003,p_004
u_003,p_050
u_003,p_045
u_003,p_046
u_003,p_029
u_003,p_037
u_003,p_019
u_004,p_011
u_004,p_014
u_004,p_008
u_004,p_008
u_004,p_006
u_004,p_002
u_004,p_046
u_004,p_035
u_004,p_049
u_004,p_037
u_004,p_029
u_004,p_024
u_005,p_001
u_005,p_014
u_005,p_006
u_005,p_001
u_005,p_006
u_005,p_048
u_005,p_050
u_005,p_048
u_005,p_030
u_005,p_034
u_005,p_039
u_006,p_015
u_006,p_003
u_006,p_003
u_006,p_014
u_006,p_009
u_006,p_007
u_006,p_032
u_006,p_018
u_006,p_047
u_006,p_025
u_006,p_033
u_006,p_027
u_006,p_048
u_007,p_005
u_007,p_014
u_007,p_004
u_007,p_009
u_007,p_006
u_007,p_009
u_007,p_034
u_007,p_016
u_007,p_041
u_007,p_033
u_007,p_020
u_007,p_050
u_007,p_020
u_008,p_010
u_008,p_013
u_008,p_009
u_008,p_008
u_008,p_005
u_008,p_024
u_008,p_045
u_008,p_043
u_008,p_022
u_008,p_020
u_009,p_004
u_009,p_011
u_009,p_002
u_009,p_009
u_009,p_015
u_009,p_050
u_009,p_016
u_009,p_047
u_009,p_018
u_009,p_023
u_009,p_023
u_010,p_009
u_010,p_014
u_010,p_008
u_010,p_012
u_010,p_011
u_010,p_001
u_010,p_050
u_010,p_049
u_010,p_029
u_010,p_035
u_010,p_046
u_010,p_048
u_011,p_003
u_011,p_001
u_011,p_001
u_011,p_030
u_011,p_021
u_011,p_026
u_011,p_036
u_012,p_007
u_012,p_009
u_012,p_001
u_012,p_013
u_012,p_032
u_012,p_025
u_012,p_045
u_012,p_038
u_013,p_003
u_013,p_003
u_013,p_004
u_013,p_003
u_013,p_009
u_013,p_023
u_013,p_031
u_013,p_049
u_013,p_021
u_013,p_037
u_013,p_041
u_014,p_008
u_014,p_010
u_014,p_014
u_014,p_003
u_014,p_011
u_014,p_002
u_014,p_050
u_014,p_038
u_014,p_038
u_014,p_024
u_014,p_017
u_014,p_045
u_015,p_015
u_015,p_007
u_015,p_011
u_015,p_008
u_015,p_009
u_015,p_009
u_015,p_021
u_015,p_029
u_015,p_039
u_015,p_025
u_015,p_031
u_015,p_046
u_016,p_004
u_016,p_010
u_016,p_002
u_016,p_008
u_016,p_004
u_016,p_026
u_016,p_050
u_016,p_028
u_016,p_016
u_016,p_046
u_017,p_008
u_017,p_005
u_017,p_009
u_017,p_014
u_017,p_050
u_017,p_045
u_017,p_025
u_017,p_046
u_018,p_005
u_018,p_009
u_018,p_003
u_018,p_014
u_018,p_047
u_018,p_019
u_018,p_045
u_018,p_047
u_018,p_041
u_019,p_006
u_019,p_012
u_019,p_009
u_019,p_003
u_019,p_005
u_019,p_016
u_019,p_044
u_019,p_050
u_019,p_033
u_019,p_027
u_020,p_015
u_020,p_015
u_020,p_014
u_020,p_009
u_020,p_037
u_020,p_033
u_020,p_049
u_020,p_041
